Survey,cruise,Station_Code,Station,Year,Date,Time,Lat,Long,Station_Depth_m,Distance_Offshore_nmi,Gear,Extension,Species,Total_CPUE,CPUE<80,CPUE>80,TrawlDist_km,3m_Temp,3m_Salinity,3m_Chl,Top20m_Temp,Top20m_Salinity,CTD_Comments
SWFSC,FR1001,FR100120T1,SR03,2010,7/4/2010,13:39,41.9,-124.445,91,10.6,264NRT,No,California market squid,0,0,0,3.0607282,8.168899536,33.81499863,1.19322128,8.133029985,33.81520023,
SWFSC,FR1001,FR100121T1,KR01,2010,7/5/2010,7:55,41.58333333,-124.1583333,30,2.7,264NRT,No,California market squid,0.285971783,0,0.285971783,3.4968485,8.147899628,33.49399948,5.49438865,7.843449974,33.7673996,
SWFSC,FR1001,FR100122T1,KR02,2010,7/5/2010,10:48,41.58333333,-124.2533333,51,7,264NRT,No,California market squid,0.321207947,0,0.321207947,3.113248,7.981400013,33.83399963,2.80874226,7.947990036,33.84399986,
SWFSC,FR1001,FR100124T1,TD01,2010,7/6/2010,8:17,41.05833333,-124.19,32,1.7,264NRT,No,California market squid,0,0,0,3.4082586,8.032400131,33.81900024,2.74404954,7.639799996,33.97673697,
SWFSC,FR1001,FR100125T1,TD02,2010,7/6/2010,10:12,41.05833333,-124.235,52,3.7,264NRT,No,California market squid,1.818752631,0.606250877,1.212501754,3.2989643,8.972100258,33.72700119,8.49720907,8.213911004,33.95699967,
SWFSC,FR1001,FR100126T1,TD03,2010,7/6/2010,12:33,41.05833333,-124.2783333,87,5.7,264NRT,No,California market squid,3.412564392,3.412564392,0,3.2233824,9.17179966,33.89599991,4.40000347,8.569945049,33.91155014,
SWFSC,FR1001,FR100127T1,TD04,2010,7/6/2010,15:02,41.05833333,-124.3883333,260,10.7,264NRT,No,California market squid,24.02230928,5.678000375,18.3443089,3.3302377,10.08600044,33.68099976,11.07772979,9.554724979,33.79149952,
SWFSC,FR1001,FR100128T1,TD05,2010,7/6/2010,18:22,41.05833333,-124.4983333,650,15.7,264NRT,No,California market squid,38.84976382,3.735554213,35.11420961,3.4749246,9.818799973,33.52299881,8.9491596,9.468475008,33.65844994,
SWFSC,FR1001,FR100129T1,ER01,2010,7/7/2010,8:27,40.63333333,-124.3933333,30,3.4,264NRT,No,California market squid,0,0,0,3.6866027,8.741600037,33.8390007,1.0243014,8.535405016,33.95359993,
SWFSC,FR1001,FR100130T1,ER02,2010,7/7/2010,10:13,40.63333333,-124.4466667,55,5.8,264NRT,No,California market squid,0,0,0,3.5693952,8.96819973,34.00299835,0.54719259,8.828684855,33.95114975,
SWFSC,FR1001,FR100131T1,ER03,2010,7/7/2010,12:22,40.63333333,-124.5133333,700,8.8,264NRT,No,California market squid,0,0,0,3.3936517,9.330900192,33.83100128,1.67482264,9.142880058,33.87219982,
SWFSC,FR1001,FR100132T1,ER04,2010,7/7/2010,15:00,40.63333333,-124.6233333,700,13.8,264NRT,No,California market squid,1.496887357,0,1.496887357,3.3402647,9.893199921,33.78900146,6.20241453,9.329055119,33.95084991,
SWFSC,FR1001,FR100133T1,ER05,2010,7/7/2010,17:25,40.63333333,-124.7333333,1000,18.8,264NRT,No,California market squid,0.891758422,0.891758422,0,3.3641398,10.26000023,33.72800064,11.16937781,9.434920073,33.94420033,
SWFSC,FR1001,FR100134T1,PD01,2010,7/8/2010,8:10,40.03333333,-124.1083333,31,1.3,264NRT,No,California market squid,1.456267769,1.456267769,0,3.4334345,8.960399628,34.41199875,3.8725781,8.96151495,33.9836998,
SWFSC,FR1001,FR100135T1,PD02,2010,7/8/2010,9:57,40.03333333,-124.1283333,54,2.2,264NRT,No,California market squid,0,0,0,3.4306703,9.720100403,33.71900177,2.14474337,9.017379999,33.81445045,
SWFSC,FR1001,FR100136T1,PD03,2010,7/8/2010,12:11,40.03333333,-124.1933333,540,5.2,264NRT,No,California market squid,0,0,0,3.355793,10.84700012,33.19400024,0.91737871,10.16318007,33.4588501,
SWFSC,FR1001,FR100137T1,PD04,2010,7/8/2010,15:03,40.03333333,-124.3,540,10.1,264NRT,No,California market squid,0,0,0,2.3500849,11.2670002,33.15000153,0.28303065,10.48902507,33.3677002,
SWFSC,FR1001,FR100138T1,PD05,2010,7/8/2010,17:10,40.03333333,-124.4066667,810,15,264NRT,No,California market squid,0,0,0,3.3553323,11.33300018,33.03499985,0.38366377,10.1573751,33.40874958,
SWFSC,FR1001,FR100139T1,AR01,2010,7/9/2010,8:35,39.25,-123.8033333,59,0.8,264NRT,No,California market squid,0,0,0,3.2924874,10.28999996,33.57500076,1.53195955,9.880060053,33.66385021,
SWFSC,FR1001,FR100140T1,AR02,2010,7/9/2010,10:27,39.25,-123.8291667,92,2,264NRT,No,California market squid,0,0,0,3.4319711,10.40400028,33.57600021,1.86440825,9.819289923,33.54794979,
SWFSC,FR1001,FR100141T1,AR03,2010,7/9/2010,12:26,39.25,-123.8933333,130,5,264NRT,No,California market squid,0,0,0,3.4031096,10.76799965,33.40399933,0.44745798,10.03405495,33.53814983,
SWFSC,FR1001,FR100142T1,AR04,2010,7/9/2010,14:50,39.25,-124,420,10,264NRT,No,California market squid,0,0,0,3.2060384,11.75500011,33.22700119,0.29920383,10.99569993,33.33614998,
SWFSC,FR1001,FR100143T1,AR05,2010,7/9/2010,17:16,39.25,-124.1083333,720,15,264NRT,No,California market squid,0,0,0,3.2059571,12.42700005,32.88199997,0.43308182,11.62390013,33.1477005,
SWFSC,FR1001,FR100144T1,GP01,2010,7/10/2010,8:30,38.75,-123.545,35,0.9,264NRT,No,California market squid,0,0,0,1.0374964,10.73900032,33.97399902,1.46277428,10.42620001,33.9914999,
SWFSC,FR1001,FR100145T1,GP02,2010,7/10/2010,10:17,38.75,-123.5683333,55,2,264NRT,No,California market squid,10.08798593,9.791280461,0.296705469,3.3703457,11.06299973,33.93600082,1.48883107,10.181705,34.13155041,
SWFSC,FR1001,FR100146T1,GP03,2010,7/10/2010,12:12,38.75,-123.6216667,87,4.5,264NRT,No,California market squid,4.2840512,4.2840512,0,3.2679348,10.69999981,34.18999863,1.51668488,9.659880066,34.24894981,
SWFSC,FR1001,FR100147T1,GP04,2010,7/10/2010,14:22,38.75,-123.7283333,126,9.5,264NRT,No,California market squid,0,0,0,3.4348437,10.57699966,33.9620018,1.49062809,10.36410007,33.9612505,
SWFSC,FR1001,FR100148T1,GP05,2010,7/10/2010,16:55,38.75,-123.835,300,14.5,264NRT,No,California market squid,0,0,0,1.5619356,11.5539999,33.95999908,0.7996739,11.32414994,33.60409985,
SWFSC,FR1001,FR100149T1,FR01,2010,7/11/2010,8:10,38.5,-123.2466667,39,1.2,264NRT,No,California market squid,0,0,0,2.3219551,12.10000038,33.88899994,3.06122357,11.8527,33.80564995,
SWFSC,FR1001,FR100150T1,FR02,2010,7/11/2010,10:35,38.5,-123.26,55,1.8,264NRT,No,California market squid,0,0,0,3.3135441,12.30099964,33.82699966,3.04864443,10.93859997,33.94559994,
SWFSC,FR1001,FR100151T1,FR03,2010,7/11/2010,13:04,38.5,-123.3083333,81,4.1,264NRT,No,California market squid,33.35682646,33.35682646,0,3.6274434,11.55900002,33.6590004,1.61012992,11.47375002,33.76899986,
SWFSC,FR1001,FR100152T1,FR04,2010,7/11/2010,15:23,38.5,-123.415,112,9.1,264NRT,No,California market squid,0,0,0,3.3741668,11.61499977,33.71099854,0.88233682,10.5333199,33.90295048,
SWFSC,FR1001,FR100153T1,FR05,2010,7/11/2010,17:53,38.5,-123.5633333,164,16.1,264NRT,No,California market squid,11.01148901,0,11.01148901,3.4509411,12.20800018,33.49200058,0.76822605,11.0797401,33.68234978,
SWFSC,FR1001,FR100154T1,GF01,2010,7/12/2010,8:32,37.84166667,-122.695,28,6.6,264NRT,No,California market squid,732.4989877,732.4989877,0,2.7303792,13.89900017,32.62200165,2.26514371,12.31210008,33.5666502,
SWFSC,FR1001,FR100155T1,GF02,2010,7/12/2010,10:52,37.84166667,-122.8,46,11.6,264NRT,No,California market squid,970.5685442,927.4321644,43.13637974,1.5454859,13.02900028,33.80400085,4.70369985,11.96040006,34.09944992,
SWFSC,FR1001,FR100156T1,GF03,2010,7/12/2010,13:24,37.84166667,-123.025,80,22.2,264NRT,No,California market squid,92.46452727,74.42266829,18.04185898,3.4175268,12.12100029,34.71900177,11.8243916,10.746315,34.13010025,
SWFSC,FR1001,FR100157T1,GF04,2010,7/12/2010,15:58,37.84166667,-123.1933333,85,30.2,264NRT,No,California market squid,0.318543253,0.318543253,0,3.1392911,11.81099987,33.75099945,0.95691315,10.85798001,33.9607996,
SWFSC,FR1001,FR100158T1,GF05,2010,7/12/2010,18:52,37.84166667,-123.3833333,190,39.2,264NRT,No,California market squid,0.582727881,0.582727881,0,3.4321337,12.80200005,33.87900162,0.96589825,11.61314998,34.04995003,
SWFSC,FR1001,FR100159T1,PP01,2010,7/13/2010,8:33,37.5,-122.5266667,32,1.2,264NRT,No,California market squid,6659.855728,6659.855728,0,1.5267598,14.31000042,33.84899902,0.45554457,13.3765501,33.9566,
SWFSC,FR1001,FR100160T1,PP02,2010,7/13/2010,10:40,37.5,-122.6066667,56,5,264NRT,No,California market squid,4761.431397,4761.431397,0,3.4514831,13.86400032,33.90100098,2.20314652,12.61595001,34.14485016,
SWFSC,FR1001,FR100161T1,PP03,2010,7/13/2010,12:48,37.5,-122.7583333,80,12.2,264NRT,No,California market squid,697.1571791,663.4237672,33.73341189,3.6763589,13.1260004,33.7879982,2.29838858,11.89810004,33.98624973,
SWFSC,FR1001,FR100162T1,PP04,2010,7/13/2010,15:22,37.5,-122.905,110,19.2,264NRT,No,California market squid,13.72481887,13.42645325,0.298365628,3.3515925,12.80200005,34.07500076,0.44655947,11.84629993,33.92515011,
SWFSC,FR1001,FR100163T1,PP05,2010,7/13/2010,17:51,37.5,-123.01,400,24.2,264NRT,No,California market squid,10.96302858,10.96302858,0,3.3749798,13.43099976,33.79499817,1.89945014,12.64105,33.89649982,
SWFSC,FR1101,FR110101T1,NH05,2011,6/29/2011,18:35,44.67,-124.17,58.5,5,264NRT,No,California market squid,4.66629103,4.66629103,0,3.0002415,13.24400043,29.77799988,9.68711282,10.33857508,31.84390049,
SWFSC,FR1101,FR110102T1,HH01,2011,6/30/2011,7:39,44,-124.1708333,30,1.4,264NRT,No,California market squid,332.5034194,332.5034194,0,3.5698881,12.00899982,32.19100189,9.56737791,10.50609512,32.68975019,
SWFSC,FR1101,FR110103T1,HH02,2011,6/30/2011,10:01,44,-124.2116667,55,3.2,264NRT,No,California market squid,50.76767295,40.89618099,9.871491962,3.40768032,11.84300041,31.81900024,5.75334743,9.971344948,32.76379976,
SWFSC,FR1101,FR110104T1,HH03,2011,6/30/2011,11:57,44,-124.275,80,5.9,264NRT,No,California market squid,0,0,0,3.85216158,12.18200016,31.19400024,1.52668082,9.793615007,32.32769995,
SWFSC,FR1101,FR110105T1,HH04,2011,6/30/2011,14:06,44,-124.39,117,10.9,264NRT,No,California market squid,0.828693575,0.828693575,0,3.62015598,12.55000019,30.44499969,0.47481085,10.27742987,31.66274986,
SWFSC,FR1101,FR110106T1,HH05,2011,6/30/2011,16:28,44,-124.5066667,133,15.9,264NRT,No,California market squid,2.433935328,0.912725748,1.52120958,3.28685808,15.08600044,28.38999939,0.36454787,11.13113503,30.78880005,
SWFSC,FR1101,FR110107T1,FM01,2011,7/1/2011,8:06,43.21666667,-124.4333333,30,1.6,264NRT,No,California market squid,0,0,0,3.67527132,11.19999981,32.97600174,5.55565125,10.49402494,33.05680008,
SWFSC,FR1101,FR110108T1,FM02,2011,7/1/2011,9:54,43.21666667,-124.4733333,55,3.3,264NRT,No,California market squid,0.819766176,0.819766176,0,3.65958012,11.7869997,32.81100082,4.54871223,11.09778495,32.8427002,
SWFSC,FR1101,FR110109T1,FM03,2011,7/1/2011,11:50,43.21666667,-124.5633333,73,7.2,264NRT,No,California market squid,0,0,0,3.8282325,12.48700047,32.65599823,1.62140012,11.28332505,32.70224972,
SWFSC,FR1101,FR110110T1,FM04,2011,7/1/2011,14:11,43.21666667,-124.655,137,11.2,264NRT,No,California market squid,0,0,0,3.601971,11.60200024,32.01900101,1.44143345,10.52729001,32.23364992,
SWFSC,FR1101,FR110111T1,FM05,2011,7/1/2011,16:41,43.21666667,-124.77,340,16.2,264NRT,No,California market squid,0,0,0,3.66159756,12.47700024,31.7840004,0.97730888,11.28471585,31.78305244,
SWFSC,FR1101,FR110112T1,RR01,2011,7/2/2011,8:12,42.5,-124.4916667,32,3,264NRT,No,California market squid,0,0,0,3.8243097,8.623600006,33.57500076,0.40292133,8.591230106,33.57410069,
SWFSC,FR1101,FR110113T1,RR02,2011,7/2/2011,10:17,42.5,-124.5416667,57,5.2,264NRT,No,California market squid,0,0,0,3.76681266,8.618700027,33.45199966,0.31475952,8.566455126,33.47015038,
SWFSC,FR1101,FR110114T1,RR03,2011,7/2/2011,12:33,42.5,-124.6,82,7.8,264NRT,No,California market squid,0,0,0,3.60810738,9.408100128,33.04899979,0.51682736,9.314464951,33.04519997,
SWFSC,FR1101,FR110115T1,RR04,2011,7/2/2011,15:01,42.5,-124.6966667,118,12.1,264NRT,No,California market squid,0,0,0,3.67154466,10.25800037,32.6780014,0.78908463,10.11549001,32.63720016,
SWFSC,FR1101,FR110116T1,RR05,2011,7/2/2011,17:27,42.5,-124.81,600,17.1,264NRT,No,California market squid,0,0,0,3.72920982,11.34599972,32.3390007,0.55301499,11.25334992,32.34294987,
SWFSC,FR1101,FR110117T1,SR01,2011,7/3/2011,8:08,41.9,-124.2717,30,2.9,264NRT,No,California market squid,0.806174185,0,0.806174185,3.72128016,9.593999863,33.56600189,11.38161681,8.642630005,33.7296999,
SWFSC,FR1101,FR110118T1,SR02,2011,7/3/2011,10:13,41.9,-124.3541667,55,6.6,264NRT,No,California market squid,0,0,0,3.7849416,9.459899902,33.75899887,8.6073128,8.960505009,33.7366497,
SWFSC,FR1101,FR110119T1,SR03,2011,7/3/2011,12:22,41.9,-124.445,91,10.6,264NRT,No,California market squid,0,0,0,3.56335944,9.78219986,33.6780014,0.70262291,9.569631627,33.67447361,"No 3m values, used 4m"
SWFSC,FR1101,FR110120T1,SR04,2011,7/3/2011,15:00,41.9,-124.5566667,400,15.6,264NRT,No,California market squid,0,0,0,3.44461068,9.941399574,33.63199997,0.9399069,9.519689989,33.59854984,
SWFSC,FR1101,FR110121T1,SR05,2011,7/3/2011,17:34,41.9,-124.6683333,680,20.6,264NRT,No,California market squid,0,0,0,3.61511238,10.10900021,33.54100037,0.67566434,9.970889997,33.54760017,
SWFSC,FR1101,FR110122T1,KR01,2011,7/4/2011,8:09,41.58333333,-124.1583333,30,2.7,264NRT,No,California market squid,0,0,0,3.51718248,10.95400047,32.68199921,0.50856978,9.251170063,33.42199974,
SWFSC,FR1101,FR110123T1,KR02,2011,7/4/2011,10:21,41.58333333,-124.2533333,51,7,264NRT,No,California market squid,0,0,0,3.30616386,11.94900036,31.75099945,1.13468864,9.509040022,33.10484972,
SWFSC,FR1101,FR110124T1,KR03,2011,7/4/2011,12:45,41.58333333,-124.3433333,82,11,264NRT,No,California market squid,0,0,0,3.38702958,10.07499981,33.53099823,2.13531304,9.616215086,33.6064003,
SWFSC,FR1101,FR110125T1,KR04,2011,7/4/2011,15:43,41.58333333,-124.4416667,137,15.4,264NRT,No,California market squid,0,0,0,3.58471068,10.47500038,33.26599884,0.32083127,10.13900504,33.23084965,
SWFSC,FR1101,FR110126T1,MP01,2011,7/5/2011,8:11,41.35,-124.1416667,30,2.9,264NRT,No,California market squid,1.105224171,1.105224171,0,3.61917528,12.46199989,33.1780014,2.46828781,10.44568996,33.41490002,
SWFSC,FR1101,FR110127T1,MP02,2011,7/5/2011,10:17,41.35,-124.2,55,5.5,264NRT,No,California market squid,37.65341608,10.62019428,27.0332218,3.61189008,11.43299961,32.97700119,6.508916,10.57427998,33.18465042,
SWFSC,FR1101,FR110128T1,MP03,2011,7/5/2011,12:45,41.35,-124.2766667,83,8.9,264NRT,No,California market squid,0.797301142,0,0.797301142,3.76269372,11.6619997,32.95600128,4.65144624,9.975314903,33.36250038,
SWFSC,FR1101,FR110129T1,MP04,2011,7/5/2011,16:44,41.35,-124.365,110,12.9,264NRT,No,California market squid,0,0,0,1.8000048,10.34500027,33.34600067,0.61591832,10.184375,33.38054981,
SWFSC,FR1101,FR110132T1,TD04,2011,7/6/2011,10:06,41.05833333,-124.3883333,260,10.7,264NRT,No,California market squid,0,0,0,3.74153862,10.36200047,32.9109993,0.46703901,10.27711511,32.91269989,
SWFSC,FR1101,FR110133T1,TD03,2011,7/6/2011,12:22,41.05833333,-124.2783333,87,5.7,264NRT,No,California market squid,0,0,0,3.72172848,11.67099953,33.0719986,2.21594588,10.7379149,33.22314968,
SWFSC,FR1101,FR110134T1,TD02,2011,7/6/2011,15:21,41.05833333,-124.235,52,3.7,264NRT,No,California market squid,0,0,0,2.2372569,11.32499981,33.41600037,2.74394526,10.36271491,33.41459942,
SWFSC,FR1101,FR110135T1,TD01,2011,7/6/2011,17:06,41.05833333,-124.19,32,1.7,264NRT,No,California market squid,0,0,0,3.58322562,10.78100014,33.66999817,0.69679403,9.446070051,33.65370026,
SWFSC,FR1101,FR110136T1,ER01,2011,7/7/2011,8:26,40.63333333,-124.3933333,30,3.4,264NRT,No,California market squid,0.56485251,0.56485251,0,3.5407473,10.47299957,33.67200089,5.67975782,9.245699883,33.65960045,
SWFSC,FR1101,FR110137T1,ER02,2011,7/7/2011,10:25,40.63333333,-124.4466667,55,5.8,264NRT,No,California market squid,0,0,0,2.4630981,10.59300041,33.61000061,4.0899308,9.614020109,33.5550499,
SWFSC,FR1101,FR110138T1,ER03,2011,7/7/2011,13:08,40.63333333,-124.5133333,700,8.8,264NRT,No,California market squid,0,0,0,2.36511216,10.3380003,33.60300064,3.20296956,9.885394955,33.54040031,
SWFSC,FR1101,FR110139T1,ER04,2011,7/7/2011,16:50,40.63333333,-124.6233333,700,13.8,264NRT,No,California market squid,0,0,0,2.31506844,10.91499996,33.50099945,2.42092816,10.41729994,33.43235016,
SWFSC,FR1101,FR110140T1,ER05,2011,7/7/2011,19:17,40.63333333,-124.7333333,1000,18.8,264NRT,No,California market squid,0,0,0,3.4348317,10.52200031,33.35599899,0.66983546,10.49594749,33.34510562,
SWFSC,FR1101,FR110141T1,PD01,2011,7/8/2011,8:55,40.03333333,-124.1083333,31,1.3,264NRT,No,California market squid,157.4746916,157.4746916,0,3.77838492,11.9090004,33.80599976,2.01217795,10.76970496,33.78535023,
SWFSC,FR1101,FR110142T1,PD02,2011,7/8/2011,11:11,40.03333333,-124.1283333,54,2.2,264NRT,No,California market squid,262.3753989,262.3753989,0,3.65887962,10.94299984,34.06999969,6.25851703,9.899904966,33.81720009,
SWFSC,FR1101,FR110143T1,PD03,2011,7/8/2011,13:30,40.03333333,-124.1933333,540,5.2,264NRT,No,California market squid,0,0,0,3.41406888,10.87899971,33.78300095,1.32267002,9.86668992,33.68920021,
SWFSC,FR1101,FR110145T1,AR01,2011,7/9/2011,8:36,39.25,-123.8033333,59,0.8,264NRT,No,California market squid,0,0,0,3.59894484,10.04300022,33.77399826,0.62150433,9.839919996,33.71764984,
SWFSC,FR1101,FR110146T1,AR02,2011,7/9/2011,10:36,39.25,-123.8291667,92,2,264NRT,No,California market squid,0.270381939,0.270381939,0,3.69847188,10.2159996,33.6570015,0.46898197,10.08555002,33.64899979,
SWFSC,FR1101,FR110147T1,AR03,2011,7/9/2011,13:05,39.25,-123.8933333,130,5,264NRT,No,California market squid,0,0,0,3.58639188,10.90699959,33.60900116,0.51099848,10.82550006,33.60195026,
SWFSC,FR1101,FR110148T1,AR04,2011,7/9/2011,15:41,39.25,-124,420,10,264NRT,No,California market squid,0,0,0,3.70623342,11.11499977,33.64500046,0.45756708,11.00834985,33.63824997,
SWFSC,FR1101,FR110150T1,GP01,2011,7/10/2011,8:42,38.75,-123.545,35,0.9,264NRT,No,California market squid,0,0,0,3.5572791,10.19299984,33.86000061,0.97075139,9.987570538,33.86711749,
SWFSC,FR1101,FR110151T1,GP02,2011,7/10/2011,11:11,38.75,-123.5683333,55,2,264NRT,No,California market squid,0,0,0,2.41271814,9.309300423,33.95700073,0.45635273,9.30822506,33.95445042,
SWFSC,FR1101,FR110152T1,GP03,2011,7/10/2011,13:28,38.75,-123.6216667,87,4.5,264NRT,No,California market squid,0,0,0,3.40496238,9.38710022,33.96099854,0.40899308,9.314125013,33.95470009,
SWFSC,FR1101,FR110153T1,GP04,2011,7/10/2011,15:53,38.75,-123.7283333,126,9.5,264NRT,No,California market squid,9.296377629,9.296377629,0,3.54976974,10.22500038,33.9469986,0.39320653,10.04433994,33.93564968,
SWFSC,FR1101,FR110154T1,GP05,2011,7/10/2011,18:30,38.75,-123.835,300,14.5,264NRT,No,California market squid,0,0,0,3.56072556,10.47299957,33.75500107,0.48306843,10.38574991,33.74785004,
SWFSC,FR1101,FR110155T1,FR01,2011,7/11/2011,8:40,38.5,-123.2466667,39,1.2,264NRT,No,California market squid,0,0,0,3.49468242,9.378499985,33.89199829,0.37912007,9.133950043,33.93754978,
SWFSC,FR1101,FR110156T1,FR02,2011,7/11/2011,10:50,38.5,-123.26,55,1.8,264NRT,No,California market squid,0,0,0,3.77003496,9.118900299,33.95999908,0.28100059,9.08968997,33.95460014,
SWFSC,FR1101,FR110157T1,FR03,2011,7/11/2011,12:54,38.5,-123.3083333,81,4.1,264NRT,No,California market squid,734.0512599,734.0512599,0,3.59647908,9.434000015,33.92900085,0.36260491,9.354309893,33.91700001,
SWFSC,FR1101,FR110158T1,FR04,2011,7/11/2011,15:23,38.5,-123.415,112,9.1,264NRT,No,California market squid,182.5829633,182.5829633,0,3.72433434,9.949000359,33.91199875,0.37426267,9.902434969,33.91104946,
SWFSC,FR1101,FR110159T1,FR05,2011,7/11/2011,18:40,38.5,-123.5633333,164,16.1,264NRT,No,California market squid,2.441298052,2.441298052,0,3.68656338,10.2489996,33.86700058,1.16747609,10.22485003,33.86699982,
SWFSC,FR1101,FR110162T1,TB03,2011,7/12/2011,13:55,38.13333333,-123.1125,76,7.5,264NRT,No,California market squid,10.5547059,10.5547059,0,3.6002898,10.48799992,33.73699951,1.31198374,10.40439997,33.7352499,
SWFSC,FR1101,FR110163T1,TB04,2011,7/12/2011,16:39,38.13333333,-123.22,108,12.5,264NRT,No,California market squid,14.4999642,14.4999642,0,3.58621575,10.68000031,33.80899811,1.37391559,10.60225,33.80444946,
SWFSC,FR1101,FR110164T1,TB05,2011,7/12/2011,19:09,38.13333333,-123.3266667,141,17.5,264NRT,No,California market squid,0.800403563,0.266801188,0.533602376,3.74810925,10.80700016,33.83000183,2.10179698,10.71284995,33.81480007,
SWFSC,FR1101,FR110165T1,GF01,2011,7/13/2011,8:59,37.84166667,-122.695,28,6.6,264NRT,No,California market squid,5273.459951,5273.459951,0,3.671214,12.56000042,31.82299995,2.3776973,11.809025,32.38229971,
SWFSC,FR1101,FR110166T1,GF02,2011,7/13/2011,11:25,37.84166667,-122.8,46,11.6,264NRT,No,California market squid,22133.8181,22133.8181,0,1.1081685,11.46700001,33.22200012,5.77204842,10.73941007,33.4057497,
